"from";"to"
"stat";"11000002"
"11000011";"12004918"
"11000011";"12011561"
"11000011";"12004919"
"11000011";"12004920"
"11000011";"12004926"
"11000011";"12004909"
"11000011";"12011256"
"11000011";"12004903"
"12004903";"12004905"
"12004903";"12004904"
"12004906";"12004879"
"12004906";"12010744"
"12004906";"12004875"
"12004906";"12004786"
"12004906";"12004647"
"12004906";"12004650"
"12004908";"12010747"
"12004908";"12004803"
"12004908";"12004806"
"12004908";"12010931"
"12004908";"12004809"
"12004909";"12004885"
"12004909";"12010716"
"12004909";"12004861"
"12004909";"12011254"
"12004909";"12004849"
"12004909";"12011560"
"12004909";"12004845"
"12004909";"12004838"
"12004909";"12004822"
"12004911";"12010750"
"12004911";"12004915"
"12004911";"12004914"
"12004911";"12004912"
"12004920";"12004897"
"12004920";"12004921"
"12004920";"12004922"
"12004920";"12011562"
"12004926";"12012482"
"12004926";"12012480"
"12004926";"12012005"
"12004926";"12004900"
"12004926";"12004896"
"12011256";"12011257"
"12011256";"12011258"
"12011561";"12011552"
"12011561";"12011981"
"12011561";"12011982"
"12011561";"12011984"
"12011561";"12010722"
"12011561";"12004785"
"12004647";"12004784"
"12004647";"12011444"
"12004647";"12011443"
"12004650";"12004781"
"12004650";"12004782"
"12004786";"12004788"
"12004786";"12004787"
"12004875";"12004878"
"12004875";"12004876"
"12004875";"12004877"
"12004879";"12004880"
"12004879";"12004881"
"12010744";"12004789"
"12010744";"12010743"
"12004803";"12004804"
"12004803";"12004805"
"12004803";"12012479"
"12004806";"12004808"
"12004806";"12004807"
"12004809";"12004811"
"12004809";"12004810"
"12004822";"12011555"
"12004822";"12004826"
"12004822";"12004824"
"12004822";"12004823"
